 DEPTH          GR                SP              CAL            LLD             LLS             AC                DEN           CNL
2554.625    144.1129     -80.5380     22.5210     26.0167      28.6804      231.1080      2.5500       28.6930   
2554.750    140.2401     -80.7580     22.5440     26.5105      29.3742      230.3540      2.5420       28.0200   
2554.875    138.7145     -80.9970     22.5440     27.3487      30.4776      229.1380      2.5440       27.1890   
2555.000    139.3013     -81.2600     22.5800     28.0625      31.4433      227.5080      2.5410       26.4920   
2555.125    143.4087     -81.5290     22.6030     29.1870      32.9097      225.2310      2.5330       25.6970   
2555.250    146.2253     -81.8030     22.6270     31.0127      35.0962      222.2770      2.5310       24.8390   
2555.375    147.2815     -82.0960     22.6150     34.8716      39.5327      218.6920      2.5290       23.6880   
2555.500    146.6947     -82.4340     22.5440     39.9795      45.3432      214.7850      2.5350       22.8110   
2555.625    147.5162     -82.8100     22.4740     48.9384      55.6270      211.1850      2.5440       22.3280   
2555.750    151.6236     -83.2420     22.4030     60.0261      68.5487      208.7540      2.5550       22.5180   
2555.875    154.5575     -83.7350     22.4150     72.7362      83.5583      207.6460      2.5580       22.8620   
2556.000    154.7923     -84.2630     22.4390     77.1962      89.0195      207.6310      2.5620       23.3870   
2556.125    149.6286     -84.7830     22.4620     74.8931      86.6051      208.1690      2.5590       23.8410   
2556.250    142.7046     -85.2960     22.4390     72.7260      84.1630      208.8460      2.5560       24.2640   
2556.375    137.4236     -85.8050     22.4270     73.2772      84.8801      209.1690      2.5490       24.5240   
2556.500    138.7145     -86.3130     22.4150     74.3974      86.5372      208.9540      2.5500       24.6840   
2556.625    142.3525     -86.8200     22.4150     78.1270      91.5033      208.0150      2.5440       24.4720   
2556.750    147.3988     -87.3480     22.4030     87.5361      102.708      206.29208     2.5490       23.5720   
2556.875    146.4600     -87.9210     22.4150     108.8338     127.106      203.80004     2.5510       22.1700   
2557.000    140.9443     -88.5620     22.4150     135.7501     157.512      200.96907     2.5470       20.0240   
2557.125    130.8517     -89.2950     22.4150     178.3765     204.218      198.78502     2.5500       18.0910   
2557.250    120.1723     -90.1560     22.4150     226.1587     254.290      198.29208     2.5340       16.3940   
2557.375    109.9623     -91.1780     22.4390     282.9453     312.044      200.13807     2.5080       15.4850   
2557.500    103.5078     -92.3770     22.5800     315.3575     344.653      204.04606     2.4490       14.9500   
2557.625    99.0483      -93.7500     22.6860     326.0876     354.802      208.95408     2.4020       14.9420   
2557.750    99.9871      -95.2780     22.7800     318.7944     345.394      213.44608     2.3500       14.7650   
2557.875    99.4003      -96.9020     22.7560     303.1286     326.248      216.53802     2.3420       14.5760   
2558.000    100.3392     -98.5630     22.7330     292.3752     313.686      217.76906     2.3580       14.1880   
2558.125    99.5177      -100.1840    22.7210     283.4271     304.418      217.56909     2.3850       13.8790   
2558.250    99.6350      -101.6890    22.7210     270.6452     291.392      216.89200     2.4090       13.9570   
2558.375    106.2070     -102.9940    22.7210     249.1704     269.261      216.38501     2.4360       14.3450   
2558.500    113.9524     -104.0380    22.7210     232.5640     252.761      216.21506     2.4400       14.8500   
2558.625    122.5194     -104.7880    22.7090     221.2128     242.106      216.56902     2.4530       15.4730   
2558.750    123.9277     -105.2900    22.7330     218.5490     239.271      217.30809     2.4590       16.0760   
